timestamp,avg_update_ms,max_update_ms,fps_ms,players,zombies_loaded,zombies_simulated,loaded_cells,heap_used_mb,resend_buffer_bytes,recv_packets_total,sent_packets_total
2026-07-13_17-51-07,4.0,246.0,100.0,19.0,1505.0,0.0,194.0,12268.0,2743.0,348193,1865903
2026-07-13_17-51-22,4.0,113.0,99.0,19.0,1504.0,0.0,189.0,13123.0,23932.0,350871,1875718
2026-07-13_17-51-37,4.0,218.0,95.0,19.0,1484.0,0.0,181.0,14002.0,718.0,353711,1886086
2026-07-13_17-51-52,5.0,168.0,106.0,19.0,1434.0,0.0,170.0,14923.0,11608.0,355923,1898172
2026-07-13_17-52-07,2.0,160.0,65.0,19.0,1432.0,0.0,179.0,15888.0,22307.0,358426,1908447
2026-07-13_17-52-22,7.0,247.0,161.0,19.0,1533.0,0.0,176.0,16968.0,2889.0,361089,1920745
2026-07-13_17-52-37,4.0,107.0,97.0,19.0,1520.0,0.0,165.0,18008.0,13981.0,363874,1934239
2026-07-13_17-52-52,5.0,119.0,104.0,19.0,1530.0,0.0,173.0,18954.0,470.0,366203,1945450
2026-07-13_17-53-07,4.0,182.0,97.0,19.0,1537.0,0.0,168.0,19853.0,367.0,368607,1955490
2026-07-13_17-53-22,4.0,107.0,99.0,19.0,1495.0,0.0,165.0,20736.0,2243.0,370958,1966473
2026-07-13_17-53-36,4.0,110.0,101.0,19.0,1488.0,0.0,162.0,21573.0,1278.0,373171,1976664
2026-07-13_17-53-51,4.0,111.0,101.0,19.0,1487.0,0.0,158.0,22353.0,629.0,375244,1986310
2026-07-13_17-54-06,4.0,125.0,97.0,19.0,1486.0,0.0,161.0,23221.0,210.0,377319,1995939
2026-07-13_17-54-20,4.0,186.0,98.0,19.0,1485.0,0.0,161.0,24052.0,446.0,379316,2005453
2026-07-13_17-54-35,4.0,113.0,99.0,19.0,1486.0,0.0,165.0,24920.0,20402.0,381364,2015234
2026-07-13_17-54-50,9.0,220.0,192.0,19.0,936.0,0.0,165.0,25713.0,18180.0,383686,2027684
2026-07-13_17-55-05,5.0,116.0,114.0,19.0,946.0,0.0,163.0,26570.0,248.0,386356,2040354
2026-07-13_17-55-20,4.0,112.0,102.0,19.0,884.0,0.0,160.0,27181.0,40643.0,389114,2052215
2026-07-13_17-55-35,8.0,312.0,162.0,19.0,972.0,0.0,164.0,27812.0,1161.0,391416,2062951
2026-07-13_17-55-49,4.0,107.0,102.0,19.0,973.0,0.0,167.0,28458.0,24820.0,393763,2074945
2026-07-13_17-56-04,4.0,183.0,99.0,19.0,977.0,0.0,174.0,29135.0,2689.0,396259,2087265
2026-07-13_17-56-19,4.0,112.0,102.0,19.0,975.0,0.0,174.0,29699.0,360.0,398547,2097210
2026-07-13_17-56-34,5.0,113.0,113.0,19.0,971.0,0.0,174.0,30217.0,1043.0,400919,2108816
2026-07-13_17-56-48,5.0,108.0,108.0,19.0,976.0,0.0,174.0,30876.0,74049.0,403264,2119850
2026-07-13_17-57-03,4.0,152.0,100.0,19.0,908.0,0.0,167.0,31532.0,1939.0,406337,2133809
2026-07-13_17-57-18,5.0,114.0,106.0,19.0,886.0,0.0,154.0,32119.0,98.0,408789,2146758
2026-07-13_17-57-32,4.0,125.0,102.0,19.0,886.0,0.0,154.0,32734.0,19517.0,411037,2157389
2026-07-13_17-57-48,4.0,570.0,94.0,20.0,1075.0,0.0,164.0,33552.0,44786.0,413868,2171678
2026-07-13_17-58-03,5.0,175.0,109.0,20.0,1132.0,0.0,173.0,34370.0,635.0,416969,2187742
2026-07-13_17-58-18,4.0,107.0,103.0,20.0,1130.0,0.0,170.0,35045.0,25817.0,419756,2199468
2026-07-13_17-58-32,5.0,198.0,108.0,20.0,1146.0,0.0,173.0,35794.0,17013.0,422786,2212047
2026-07-13_17-58-47,4.0,122.0,98.0,20.0,1145.0,0.0,173.0,36456.0,560.0,425327,2223127
2026-07-13_17-59-02,12.0,264.0,264.0,20.0,1130.0,0.0,173.0,37184.0,38287.0,427864,2234051
2026-07-13_17-59-17,8.0,210.0,162.0,20.0,1142.0,0.0,183.0,38033.0,871.0,430415,2245160
2026-07-13_17-59-33,5.0,214.0,107.0,21.0,1238.0,0.0,187.0,39036.0,16343.0,433498,2258408
2026-07-13_17-59-48,8.0,176.0,176.0,21.0,1252.0,0.0,187.0,39984.0,16662.0,436511,2270760
2026-07-13_18-00-03,6.0,137.0,137.0,20.0,1176.0,0.0,176.0,40770.0,0.0,439374,2282558
2026-07-13_18-00-18,5.0,105.0,105.0,20.0,1169.0,0.0,172.0,41517.0,77248.0,442222,2295256
2026-07-13_18-00-34,5.0,198.0,115.0,20.0,1168.0,0.0,179.0,42276.0,734.0,445488,2308004
2026-07-13_18-00-48,4.0,109.0,101.0,20.0,1168.0,0.0,179.0,43004.0,5098.0,448790,2320415
2026-07-13_18-01-04,4.0,229.0,95.0,20.0,1167.0,0.0,179.0,43677.0,1425.0,451938,2332128
2026-07-13_18-01-19,10.0,214.0,214.0,20.0,1392.0,0.0,182.0,44677.0,33492.0,455108,2346489
2026-07-13_18-01-34,4.0,189.0,103.0,20.0,1513.0,0.0,177.0,45508.0,16709.0,458071,2359460
2026-07-13_18-01-50,18.0,364.0,364.0,20.0,1190.0,0.0,174.0,46430.0,0.0,460885,2371752
2026-07-13_18-02-05,4.0,110.0,103.0,20.0,1235.0,0.0,181.0,47318.0,298.0,464054,2383737
2026-07-13_18-02-20,4.0,112.0,100.0,20.0,1233.0,0.0,177.0,48140.0,8546.0,467222,2396252
2026-07-13_18-02-36,8.0,170.0,162.0,20.0,1228.0,0.0,175.0,8237.0,53606.0,470720,2408514
2026-07-13_18-02-51,3.0,222.0,62.0,20.0,1237.0,0.0,183.0,9200.0,223.0,473971,2421848
2026-07-13_18-03-07,8.0,189.0,180.0,20.0,1220.0,0.0,176.0,10085.0,5780.0,477144,2434511
2026-07-13_18-03-22,5.0,121.0,103.0,20.0,1204.0,0.0,177.0,10930.0,0.0,480496,2448100
2026-07-13_18-03-37,4.0,131.0,98.0,20.0,1271.0,0.0,180.0,11920.0,233.0,483836,2462400
2026-07-13_18-03-53,5.0,214.0,120.0,21.0,1273.0,0.0,192.0,13054.0,32106.0,487149,2479171
2026-07-13_18-04-08,5.0,209.0,117.0,21.0,1269.0,0.0,195.0,14166.0,17193.0,490667,2493364
2026-07-13_18-04-24,3.0,171.0,65.0,21.0,1216.0,0.0,195.0,15091.0,25255.0,494184,2507582
2026-07-13_18-04-40,3.0,317.0,78.0,21.0,1166.0,0.0,189.0,16173.0,35156.0,498189,2522841
2026-07-13_18-04-55,5.0,113.0,104.0,21.0,1142.0,0.0,196.0,17192.0,1837.0,501769,2536576
2026-07-13_18-05-11,9.0,203.0,193.0,21.0,1101.0,0.0,194.0,18161.0,853.0,505504,2552697
2026-07-13_18-05-26,4.0,184.0,101.0,21.0,1135.0,0.0,191.0,19191.0,1612.0,508929,2565922
2026-07-13_18-05-42,3.0,269.0,79.0,21.0,1187.0,0.0,205.0,20220.0,32321.0,512937,2581429
2026-07-13_18-05-57,4.0,125.0,102.0,21.0,1190.0,0.0,201.0,21164.0,41942.0,516726,2596084
2026-07-13_18-06-13,12.0,245.0,245.0,21.0,1201.0,0.0,206.0,22173.0,38096.0,520512,2609749
2026-07-13_18-06-29,4.0,112.0,95.0,21.0,1161.0,0.0,200.0,23047.0,1589.0,523909,2622442
2026-07-13_18-06-44,9.0,200.0,200.0,21.0,956.0,0.0,184.0,23863.0,536.0,527716,2636463
2026-07-13_18-07-00,7.0,199.0,156.0,21.0,982.0,0.0,199.0,24758.0,43584.0,531305,2650514
2026-07-13_18-07-16,7.0,162.0,162.0,21.0,1015.0,0.0,199.0,26677.0,296.0,535563,2665247
2026-07-13_18-07-31,5.0,168.0,106.0,21.0,1008.0,0.0,201.0,27644.0,776.0,539186,2678517
2026-07-13_18-07-47,6.0,129.0,125.0,21.0,949.0,0.0,190.0,28517.0,10850.0,542807,2693086
2026-07-13_18-08-03,4.0,123.0,89.0,21.0,945.0,0.0,193.0,29435.0,950.0,546185,2706500
2026-07-13_18-08-18,5.0,223.0,108.0,21.0,930.0,0.0,193.0,30255.0,1071.0,549654,2720172
2026-07-13_18-08-34,5.0,110.0,110.0,21.0,900.0,0.0,191.0,31188.0,35310.0,553018,2733313
2026-07-13_18-08-49,4.0,107.0,100.0,21.0,949.0,0.0,186.0,32111.0,26239.0,556569,2748258
2026-07-13_18-09-05,4.0,112.0,101.0,21.0,960.0,0.0,180.0,33093.0,2123.0,560431,2762483
2026-07-13_18-09-21,4.0,127.0,101.0,21.0,974.0,0.0,182.0,33963.0,312.0,563898,2776495
2026-07-13_18-09-37,3.0,207.0,69.0,21.0,942.0,0.0,185.0,35290.0,9567.0,568033,2790327
2026-07-13_18-09-52,4.0,117.0,99.0,21.0,1045.0,0.0,183.0,36463.0,21500.0,571540,2806164
2026-07-13_18-10-08,4.0,154.0,99.0,21.0,1127.0,0.0,181.0,37396.0,24725.0,575617,2820701
2026-07-13_18-10-24,3.0,198.0,77.0,21.0,1121.0,0.0,176.0,38293.0,26834.0,579531,2834789
2026-07-13_18-10-39,4.0,104.0,100.0,21.0,1205.0,0.0,182.0,39220.0,42953.0,583359,2850402
2026-07-13_18-10-55,5.0,198.0,106.0,21.0,1196.0,0.0,179.0,40009.0,23059.0,587151,2864878
2026-07-13_18-11-11,4.0,111.0,98.0,21.0,1204.0,0.0,175.0,40806.0,541.0,590697,2878863
2026-07-13_18-11-27,5.0,198.0,105.0,21.0,1185.0,0.0,173.0,41597.0,13835.0,594968,2894460
2026-07-13_18-11-42,4.0,108.0,102.0,21.0,1365.0,0.0,180.0,42532.0,52332.0,598912,2912365
2026-07-13_18-11-58,3.0,299.0,65.0,21.0,1349.0,0.0,181.0,43452.0,20698.0,603390,2929051
2026-07-13_18-12-14,5.0,112.0,109.0,21.0,1354.0,0.0,188.0,44361.0,2790.0,607512,2946712
